NC_030599.1 Prunus pseudocerasus voucher PSEUDO20160226 chloroplast, complete genome
NC_031163.1 Malus prunifolia voucher MPRUN20160302 chloroplast, complete genome
NC_032038.1 Rosa roxburghii chloroplast, complete genome
NC_033975.1 Sorbus torminalis chloroplast, complete genome
NC_061272.1 Rosa persica voucher SRR7077021 chloroplast, complete genome
NC_061417.1 Prunus takasagomontana chloroplast, complete genome
NC_061549.1 Malus domestica cultivar Red Delicious-ww chloroplast, complete genome
NC_061551.1 Rhaphiolepis brevipetiolata chloroplast, complete genome
NC_061557.1 Pyrus elata plastid, complete genome
NC_061558.1 Pyrus georgica plastid, complete genome
NC_061559.1 Pyrus turcomanica plastid, complete genome
NC_061917.1 Pyrus communis subsp. caucasica plastid, complete genome
NC_061933.1 Pyrus demetrii plastid, complete genome
NC_061934.1 Pyrus pyraster voucher PPASH20160703 plastid, complete genome
NC_061935.1 Pyrus salicifolia plastid, complete genome
NC_061982.1 Rosa helenae voucher cwh028 chloroplast, complete genome
NC_061983.1 Rosa kweichowensis voucher cwh029 chloroplast, complete genome
NC_061984.1 Rosa odorata cultivar Glandular Sepal voucher cwh036 chloroplast, complete genome
NC_061985.1 Rosa palustris voucher cwh039 chloroplast, complete genome
NC_061986.1 Rosa taiwanensis voucher cwh056 chloroplast, complete genome
NC_061987.1 Rosa longicuspis voucher cwh031 chloroplast, complete genome
NW_025920905.1 Malus sylvestris chromosome 14 unlocalized genomic scaffold, drMalSylv7.2 SUPER_14_unloc_1, whole genome shotgun sequence
NW_025920903.1 Malus sylvestris chromosome 13 unlocalized genomic scaffold, drMalSylv7.2 SUPER_13_unloc_1, whole genome shotgun sequence
NW_025920893.1 Malus sylvestris chromosome 4 unlocalized genomic scaffold, drMalSylv7.2 SUPER_4_unloc_1, whole genome shotgun sequence
NW_025920892.1 Malus sylvestris chromosome 17 genomic scaffold, drMalSylv7.2 SUPER_17, whole genome shotgun sequence
NW_025920891.1 Malus sylvestris chromosome 16 genomic scaffold, drMalSylv7.2 SUPER_16, whole genome shotgun sequence
NW_025920890.1 Malus sylvestris chromosome 15 genomic scaffold, drMalSylv7.2 SUPER_15, whole genome shotgun sequence
NW_025920889.1 Malus sylvestris chromosome 14 genomic scaffold, drMalSylv7.2 SUPER_14, whole genome shotgun sequence
NW_025920888.1 Malus sylvestris chromosome 13 genomic scaffold, drMalSylv7.2 SUPER_13, whole genome shotgun sequence
NW_025920887.1 Malus sylvestris chromosome 12 genomic scaffold, drMalSylv7.2 SUPER_12, whole genome shotgun sequence
NW_025920886.1 Malus sylvestris chromosome 11 genomic scaffold, drMalSylv7.2 SUPER_11, whole genome shotgun sequence
NW_025920885.1 Malus sylvestris chromosome 10 genomic scaffold, drMalSylv7.2 SUPER_10, whole genome shotgun sequence
NW_025920884.1 Malus sylvestris chromosome 9 genomic scaffold, drMalSylv7.2 SUPER_9, whole genome shotgun sequence
NW_025920883.1 Malus sylvestris chromosome 8 genomic scaffold, drMalSylv7.2 SUPER_8, whole genome shotgun sequence
NW_025920882.1 Malus sylvestris chromosome 7 genomic scaffold, drMalSylv7.2 SUPER_7, whole genome shotgun sequence
NW_025920881.1 Malus sylvestris chromosome 6 genomic scaffold, drMalSylv7.2 SUPER_6, whole genome shotgun sequence
NW_025920880.1 Malus sylvestris chromosome 5 genomic scaffold, drMalSylv7.2 SUPER_5, whole genome shotgun sequence
NW_025920879.1 Malus sylvestris chromosome 4 genomic scaffold, drMalSylv7.2 SUPER_4, whole genome shotgun sequence
NW_025920878.1 Malus sylvestris chromosome 3 genomic scaffold, drMalSylv7.2 SUPER_3, whole genome shotgun sequence
NW_025920877.1 Malus sylvestris chromosome 2 genomic scaffold, drMalSylv7.2 SUPER_2, whole genome shotgun sequence
NW_025920876.1 Malus sylvestris chromosome 1 genomic scaffold, drMalSylv7.2 SUPER_1, whole genome shotgun sequence
NC_062276.1 Malus sylvestris chromosome 17, drMalSylv7.2, whole genome shotgun sequence
NC_062275.1 Malus sylvestris chromosome 16, drMalSylv7.2, whole genome shotgun sequence
NC_062274.1 Malus sylvestris chromosome 15, drMalSylv7.2, whole genome shotgun sequence
NC_062273.1 Malus sylvestris chromosome 14, drMalSylv7.2, whole genome shotgun sequence
NC_062272.1 Malus sylvestris chromosome 13, drMalSylv7.2, whole genome shotgun sequence
NC_062271.1 Malus sylvestris chromosome 12, drMalSylv7.2, whole genome shotgun sequence
NC_062270.1 Malus sylvestris chromosome 11, drMalSylv7.2, whole genome shotgun sequence
NC_062269.1 Malus sylvestris chromosome 10, drMalSylv7.2, whole genome shotgun sequence
NC_062268.1 Malus sylvestris chromosome 9, drMalSylv7.2, whole genome shotgun sequence
NC_062267.1 Malus sylvestris chromosome 8, drMalSylv7.2, whole genome shotgun sequence
NC_062266.1 Malus sylvestris chromosome 7, drMalSylv7.2, whole genome shotgun sequence
NC_062265.1 Malus sylvestris chromosome 6, drMalSylv7.2, whole genome shotgun sequence
NC_062264.1 Malus sylvestris chromosome 5, drMalSylv7.2, whole genome shotgun sequence
NC_062263.1 Malus sylvestris chromosome 4, drMalSylv7.2, whole genome shotgun sequence
NC_062262.1 Malus sylvestris chromosome 3, drMalSylv7.2, whole genome shotgun sequence
NC_062261.1 Malus sylvestris chromosome 2, drMalSylv7.2, whole genome shotgun sequence
NC_062260.1 Malus sylvestris chromosome 1, drMalSylv7.2, whole genome shotgun sequence
NC_062299.1 Malus sylvestris isolate BBL-3571246 chloroplast, complete genome
NC_062332.1 Cormus domestica isolate Z0925 voucher B.B.Liu#Z0925 chloroplast, complete genome
NC_062334.1 Malus rockii voucher FLPH Tibet Expedition#12-2086 chloroplast, complete genome
NC_062335.1 Pourthiaea zhejiangensis voucher L.Y.Wang#T29509 chloroplast, complete genome
NC_062337.1 Photinia glabra isolate Z0426 voucher B.B.Liu#P1936-3 chloroplast, complete genome
NC_062338.1 Sorbus americana voucher Philippe et al.#42803 chloroplast, complete genome
NC_062341.1 Sorbus matsumurana voucher Inoue#100634 chloroplast, complete genome
NC_062343.1 Pyracantha coccinea isolate BBL-13004386 chloroplast, complete genome
NC_062344.1 Vauquelinia californica isolate BBL-3130625 chloroplast, complete genome
NC_062345.1 Crataegus rhipidophylla isolate BBL-12518826 chloroplast, complete genome
NC_062346.1 Crataegus mollis isolate BBL-3130998 chloroplast, complete genome
NC_062347.1 Crataegus laevigata isolate BBL-12518628 chloroplast, complete genome
NC_062414.1 Rubus chingii chloroplast, complete genome
NC_062432.1 Pyrus calleryana chloroplast, complete genome
NC_062462.1 Rosa glomerata voucher ZZM1172-6 chloroplast, complete genome
NC_062333.1 Malus sikkimensis voucher Chen et al.#13-1130 chloroplast, complete genome
NC_062336.1 Photinia crassifolia isolate Z0443 voucher L.Y.Wang & H.Z.Feng#1640 chloroplast, complete genome
NC_062339.1 Thomsonaria ferruginea voucher Hongheshui Expedition#2204 chloroplast, complete genome
NC_062340.1 Griffitharia hemsleyi voucher Jeon et al.#SI1557 chloroplast, complete genome
NC_062342.1 Sorbus pteridophylla voucher PE-Xizang Expedition#3354 chloroplast, complete genome
NC_062348.1 Malus baccata var. xiaojinensis isolate BBL-10821869 chloroplast, complete genome
NC_062349.1 Malus fusca isolate BBL-1658490 chloroplast, complete genome
NC_062350.1 Malus orientalis isolate BBL-3571169 chloroplast, complete genome
NC_062415.1 Exochorda racemosa chloroplast, complete genome
NC_062417.1 Rubus arcticus chloroplast, complete genome
NC_062461.1 Sorbaria kirilowii chloroplast, complete genome
NC_062587.1 Fragaria nubicola mitochondrion, complete genome
NC_062588.1 Potentilla micrantha mitochondrion, complete genome
NC_062589.1 Fragaria nilgerrensis mitochondrion, complete genome
NC_062590.1 Fragaria moschata mitochondrion, complete genome
NC_062591.1 Fragaria iinumae mitochondrion, complete genome
NC_062592.1 Fragaria viridis mitochondrion, complete genome
NC_062593.1 Fragaria moschata chloroplast, complete genome
NC_062657.1 Rosa rugosa x Rosa sertata chloroplast, complete genome
NC_062714.1 Sorbus munda chloroplast, complete genome
NC_062793.1 Prunus zhengheensis chloroplast, complete genome
NC_062797.1 Rhaphiolepis cavaleriei voucher 201812 chloroplast, complete genome
NC_062799.1 Rhaphiolepis deflexa voucher ED201812 chloroplast, complete genome
NC_062800.1 Rhaphiolepis williamtelliana voucher EF201903 chloroplast, complete genome
NC_062832.1 Fragaria tibetica mitochondrion, complete genome
NC_062833.1 Fragaria iturupensis mitochondrion, complete genome
NC_062834.1 Fragaria gracilis mitochondrion, complete genome
NC_062835.1 Fragaria tibetica chloroplast, complete genome
NC_062836.1 Fragaria iturupensis chloroplast, complete genome
NC_062837.1 Fragaria gracilis chloroplast, complete genome
NC_063083.1 Photinia glomerata chloroplast, complete genome
NW_025999841.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig99, whole genome shotgun sequence
NW_025999840.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig98, whole genome shotgun sequence
NW_025999839.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig97, whole genome shotgun sequence
NW_025999838.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig96, whole genome shotgun sequence
NW_025999837.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig95, whole genome shotgun sequence
NW_025999836.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig94, whole genome shotgun sequence
NW_025999835.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig93, whole genome shotgun sequence
NW_025999834.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig92, whole genome shotgun sequence
NW_025999833.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig91, whole genome shotgun sequence
NW_025999832.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig90, whole genome shotgun sequence
NW_025999831.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig9, whole genome shotgun sequence
NW_025999830.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig89, whole genome shotgun sequence
NW_025999829.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig88, whole genome shotgun sequence
NW_025999828.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig87, whole genome shotgun sequence
NW_025999827.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig86, whole genome shotgun sequence
NW_025999826.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig85, whole genome shotgun sequence
NW_025999825.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig84, whole genome shotgun sequence
NW_025999824.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig83, whole genome shotgun sequence
NW_025999823.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig82, whole genome shotgun sequence
NW_025999822.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig81, whole genome shotgun sequence
NW_025999821.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig80, whole genome shotgun sequence
NW_025999820.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig8, whole genome shotgun sequence
NW_025999819.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig79, whole genome shotgun sequence
NW_025999818.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig78, whole genome shotgun sequence
NW_025999817.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig77, whole genome shotgun sequence
NW_025999816.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig76, whole genome shotgun sequence
NW_025999815.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig75, whole genome shotgun sequence
NW_025999814.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig74, whole genome shotgun sequence
NW_025999813.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig73, whole genome shotgun sequence
NW_025999812.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig72, whole genome shotgun sequence
NW_025999811.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig71, whole genome shotgun sequence
NW_025999810.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig70, whole genome shotgun sequence
NW_025999809.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig7, whole genome shotgun sequence
NW_025999808.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig69, whole genome shotgun sequence
NW_025999807.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig68, whole genome shotgun sequence
NW_025999806.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig67, whole genome shotgun sequence
NW_025999805.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig66, whole genome shotgun sequence
NW_025999804.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig65, whole genome shotgun sequence
NW_025999803.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig64, whole genome shotgun sequence
NW_025999802.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig63, whole genome shotgun sequence
NW_025999801.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig62, whole genome shotgun sequence
NW_025999800.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig61, whole genome shotgun sequence
NW_025999799.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig60, whole genome shotgun sequence
NW_025999798.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig6, whole genome shotgun sequence
NW_025999797.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig59, whole genome shotgun sequence
NW_025999796.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig58, whole genome shotgun sequence
NW_025999795.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig57, whole genome shotgun sequence
NW_025999794.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig56, whole genome shotgun sequence
NW_025999793.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig55, whole genome shotgun sequence
NW_025999792.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig54, whole genome shotgun sequence
NW_025999791.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig53, whole genome shotgun sequence
NW_025999790.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig52, whole genome shotgun sequence
NW_025999789.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig51, whole genome shotgun sequence
NW_025999788.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig50, whole genome shotgun sequence
NW_025999787.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig5, whole genome shotgun sequence
NW_025999786.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig49, whole genome shotgun sequence
NW_025999785.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig48, whole genome shotgun sequence
NW_025999784.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig47, whole genome shotgun sequence
NW_025999783.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig46, whole genome shotgun sequence
NW_025999779.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig45, whole genome shotgun sequence
NW_025999768.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig44, whole genome shotgun sequence
NW_025999757.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig43, whole genome shotgun sequence
NW_025999746.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig42, whole genome shotgun sequence
NW_025999735.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig41, whole genome shotgun sequence
NW_025999724.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig40, whole genome shotgun sequence
NW_025999723.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig4, whole genome shotgun sequence
NW_025999712.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig39, whole genome shotgun sequence
NW_025999701.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig38, whole genome shotgun sequence
NW_025999690.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig37, whole genome shotgun sequence
NW_025999679.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig36, whole genome shotgun sequence
NW_025999668.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig35, whole genome shotgun sequence
NW_025999657.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig34, whole genome shotgun sequence
NW_025999646.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig33, whole genome shotgun sequence
NW_025999635.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig32, whole genome shotgun sequence
NW_025999624.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig31, whole genome shotgun sequence
NW_025999613.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig30, whole genome shotgun sequence
NW_025999612.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig3, whole genome shotgun sequence
NW_025999601.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig29, whole genome shotgun sequence
NW_025999592.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig281, whole genome shotgun sequence
NW_025999591.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig280, whole genome shotgun sequence
NW_025999590.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig28, whole genome shotgun sequence
NW_025999589.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig279, whole genome shotgun sequence
NW_025999588.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig278, whole genome shotgun sequence
NW_025999587.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig277, whole genome shotgun sequence
NW_025999586.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig276, whole genome shotgun sequence
NW_025999585.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig275, whole genome shotgun sequence
NW_025999584.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig274, whole genome shotgun sequence
NW_025999583.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig273, whole genome shotgun sequence
NW_025999582.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig272, whole genome shotgun sequence
NW_025999581.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig271, whole genome shotgun sequence
NW_025999580.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig270, whole genome shotgun sequence
NW_025999579.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig27, whole genome shotgun sequence
NW_025999578.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig269, whole genome shotgun sequence
NW_025999577.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig268, whole genome shotgun sequence
NW_025999576.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig267, whole genome shotgun sequence
NW_025999575.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig266, whole genome shotgun sequence
NW_025999574.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig265, whole genome shotgun sequence
NW_025999568.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig26, whole genome shotgun sequence
NW_025999557.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig25, whole genome shotgun sequence
NW_025999546.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig24, whole genome shotgun sequence
NW_025999535.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig23, whole genome shotgun sequence
NW_025999524.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig22, whole genome shotgun sequence
NW_025999522.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig218, whole genome shotgun sequence
NW_025999521.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig217, whole genome shotgun sequence
NW_025999520.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig216, whole genome shotgun sequence
NW_025999519.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig215, whole genome shotgun sequence
NW_025999518.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig214, whole genome shotgun sequence
NW_025999517.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig213, whole genome shotgun sequence
NW_025999516.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig212, whole genome shotgun sequence
NW_025999515.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig211, whole genome shotgun sequence
NW_025999514.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig210, whole genome shotgun sequence
NW_025999513.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig21, whole genome shotgun sequence
NW_025999512.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig209, whole genome shotgun sequence
NW_025999511.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig208, whole genome shotgun sequence
NW_025999510.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig207, whole genome shotgun sequence
NW_025999509.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig206, whole genome shotgun sequence
NW_025999508.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig205, whole genome shotgun sequence
NW_025999507.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig204, whole genome shotgun sequence
NW_025999506.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig203, whole genome shotgun sequence
NW_025999505.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig202, whole genome shotgun sequence
NW_025999504.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig201, whole genome shotgun sequence
NW_025999503.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig200, whole genome shotgun sequence
NW_025999502.1 Pyrus x bretschneideri cultivar Hongxiangsu unplaced genomic scaffold, Pyrus_bretschneideri_v1 Contig20, whole genome shotgun sequence
